year,league,rank,team,wins,loses,ties,WL,GB
1999,Pacific,4,Chiba Lotte Marines,63,70,2,0.474,15.5
1999,Pacific,5,Nippon Ham Fighters,60,73,2,0.451,18.5
1999,Pacific,6,Osaka Kintetsu Buffaloes,54,77,4,0.412,23.5
2000,Central,1,Yomiuri Giants,78,57,0,0.578,0
2000,Central,2,Chunichi Dragons,70,65,0,0.519,8
2000,Central,3,Yokohama Bay Stars,69,66,1,0.511,9
2000,Central,4,Yakult Swallows,66,69,1,0.489,12
2000,Central,5,Hiroshima Toyo Carp,65,70,1,0.481,13
2000,Central,6,Hanshin Tigers,57,78,1,0.422,21
2000,Pacific,1,Fukuoka Daiei Hawks,73,60,2,0.549,0
2000,Pacific,2,Seibu Lions,69,61,5,0.531,2.5
2000,Pacific,3,Nippon Ham Fighters,69,65,1,0.515,4.5
2000,Pacific,4,Orix Blue Wave,64,67,4,0.489,8
2000,Pacific,5,Chiba Lotte Marines,62,67,6,0.481,9
2000,Pacific,6,Osaka Kintetsu Buffaloes,58,75,2,0.436,15
2001,Central,1,Yakult Swallows,76,58,6,0.567,0
2001,Central,2,Yomiuri Giants,75,63,2,0.543,3
2001,Central,3,Yokohama Bay Stars,69,67,4,0.507,8
2001,Central,4,Hiroshima Carp,68,64,7,0.515,7
2001,Central,5,Chunichi Dragons,62,74,4,0.456,15
2001,Central,6,Hanshin Tigers,57,80,3,0.416,20.5
2001,Pacific,1,Osaka Kintetsu Buffaloes,78,60,2,0.565,0
2001,Pacific,2,Fukuoka Daiei Hawks,76,63,1,0.547,2.5
2001,Pacific,3,Seibu Lions,73,67,0,0.521,6
2001,Pacific,4,Orix Blue Wave,70,66,4,0.515,7
2001,Pacific,5,Chiba Lotte Marines,64,74,2,0.464,14
2001,Pacific,6,Nippon Ham Fighters,53,84,3,0.387,24.5
2002,Central,1,Yomiuri Giants,86,52,2,0.623,0
2002,Central,2,Yakult Swallows,74,62,4,0.544,11
2002,Central,3,Chunichi Dragons,69,66,5,0.511,15.5
2002,Central,4,Hanshin Tigers,66,70,4,0.485,19
2002,Central,5,Hiroshima Carp,64,72,4,0.471,21
2002,Central,6,Yokohama Bay Stars,49,86,5,0.363,35.5
2002,Pacific,1,Seibu Lions,90,49,1,0.647,0
2002,Pacific,2,Fukuoka Daiei Hawks,73,65,2,0.529,16.5
2002,Pacific,3,Osaka Kintetsu Buffaloes,73,65,2,0.529,16.5
2002,Pacific,4,Chiba Lotte Marines,67,72,1,0.482,23
2002,Pacific,5,Nippon Ham Fighters,61,76,3,0.445,28
2002,Pacific,6,Orix Blue Wave,50,87,3,0.365,39
2003,Central,1,Hanshin Tigers,87,51,2,0.63,0
2003,Central,2,Chunichi Dragons,73,66,1,0.525,14.5
2003,Central,3,Yakult Swallows,71,66,3,0.518,15.5
2003,Central,4,Yomiuri Giants,71,66,3,0.518,15.5
2003,Central,5,Hiroshima Carp,67,71,2,0.486,20
2003,Central,6,Yokohama Bay Stars,45,94,1,0.324,42.5
2003,Pacific,1,Fukuoka Daiei Hawks,82,55,3,0.599,0
2003,Pacific,2,Seibu Lions,77,61,2,0.558,5.5
2003,Pacific,3,Osaka Kintetsu Buffaloes,74,64,2,0.536,8.5
2003,Pacific,4,Chiba Lotte Marines,68,69,3,0.496,14
2003,Pacific,5,Nippon Ham Fighters,62,74,4,0.456,19.5
2003,Pacific,6,Orix Blue Wave,48,88,4,0.353,33.5
2004,Central,1,Chunichi Dragons,79,56,3,0.585,0
2004,Central,2,Yakult Swallows,72,64,2,0.529,7.5
2004,Central,3,Yomiuri Giants,71,64,3,0.526,8
2004,Central,4,Hanshin Tigers,66,70,2,0.485,13.5
2004,Central,5,Hiroshima Carp,60,77,1,0.438,20
2004,Central,6,Yokohama Bay Stars,59,76,3,0.437,20
2004,Pacific,1,Fukuoka Daiei Hawks,77,52,4,0.597,0
2004,Pacific,2,Seibu Lions,74,58,1,0.561,4.5
2004,Pacific,3,Nippon Ham Fighters,66,65,2,0.504,12
2004,Pacific,4,Chiba Lotte Marines,65,65,3,0.5,12.5
2004,Pacific,5,Osaka Kintetsu Buffaloes,61,70,2,0.466,17
2004,Pacific,6,Orix Blue Wave,49,72,2,0.405,24
2005,Central,1,Hanshin Tigers,87,54,5,0.617,0
2005,Central,2,Chunichi Dragons,79,66,1,0.545,10
2005,Central,3,Yokohama Bay Stars,69,70,7,0.496,17
2005,Central,4,Yakult Swallows,71,73,2,0.493,17.5
2005,Central,5,Yomiuri Giants,62,80,4,0.437,25.5
2005,Central,6,Hiroshima Carp,58,84,4,0.408,29.5
2005,Pacific,1,Fukuoka Daiei Hawks,89,45,2,0.664,0
2005,Pacific,2,Chiba Lotte Marines,84,49,3,0.632,4.5
2005,Pacific,3,Seibu Lions,67,69,0,0.493,23
2005,Pacific,4,Orix Buffaloes,62,70,4,0.47,26
2005,Pacific,5,Nippon Ham Fighters,62,71,3,0.466,26.5
2005,Pacific,6,Tohoku Rakuten Golden Eagles,38,97,1,0.281,51.5
2006,Central,1,Chunichi Dragons,87,54,5,0.617,0
2006,Central,2,Hanshin Tigers,84,58,4,0.592,3.5
2006,Central,3,Yakult Swallows,70,73,3,0.49,18
2006,Central,4,Yomiuri Giants,65,79,2,0.451,23.5
2006,Central,5,Hiroshima Carp,62,79,5,0.44,25
2006,Central,6,Yokohama Bay Stars,58,84,4,0.408,29.5
2006,Pacific,1,Nippon Ham Fighters,82,54,0,0.603,0
2006,Pacific,2,Seibu Lions,80,54,2,0.597,1
2006,Pacific,3,Fukuoka Softbank Hawks,75,56,5,0.573,4.5
2006,Pacific,4,Chiba Lotte Marines,65,70,1,0.481,16.5
2006,Pacific,5,Orix Buffaloes,52,81,3,0.391,28.5
2006,Pacific,6,Tohoku Rakuten Golden Eagles,47,85,4,0.356,33
2007,Central,1,Yomiuri Giants,80,63,1,0.559,0
2007,Central,2,Chunichi Dragons,78,64,2,0.549,1.5
2007,Central,3,Hanshin Tigers,74,66,4,0.529,4.5
2007,Central,4,Yokohama Bay Stars,71,72,1,0.497,9
2007,Central,5,Hiroshima Carp,60,82,2,0.423,19.5
2007,Central,6,Yakult Swallows,60,84,0,0.417,20.5
2007,Pacific,1,Nippon Ham Fighters,79,60,5,0.568,0
2007,Pacific,2,Chiba Lotte Marines,76,61,7,0.555,2
2007,Pacific,3,Fukuoka Softbank Hawks,73,66,5,0.525,6
2007,Pacific,4,Tohoku Rakuten Golden Eagles,67,75,2,0.472,13.5
2007,Pacific,5,Seibu Lions,66,76,2,0.465,14.5
2007,Pacific,6,Orix Buffaloes,62,77,5,0.446,17
2008,Central,1,Yomiuri Giants,84,57,3,0.596,0
2008,Central,2,Hanshin Tigers,82,59,3,0.582,2
2008,Central,3,Chunichi Dragons,71,68,5,0.511,12
2008,Central,4,Hiroshima Carp,69,70,5,0.496,14
2008,Central,5,Yakult Swallows,66,74,4,0.471,17.5
2008,Central,6,Yokohama Bay Stars,48,94,2,0.338,36.5
2008,Pacific,1,Saitama Seibu Lions,76,64,4,0.543,0
2008,Pacific,2,Orix Buffaloes,75,68,1,0.524,2.5
2008,Pacific,3,Nippon Ham Fighters,73,69,2,0.514,4
2008,Pacific,4,Chiba Lotte Marines,73,70,1,0.51,4.5
2008,Pacific,5,Tohoku Rakuten Golden Eagles,65,76,3,0.461,11.5
2008,Pacific,6,Fukuoka Softbank Hawks,64,77,3,0.454,12.5
2009,Central,1,Yomiuri Giants,89,46,9,0.659,0
2009,Central,2,Chunichi Dragons,81,62,1,0.566,12
2009,Central,3,Yakult Swallows,71,72,1,0.497,22
2009,Central,4,Hanshin Tigers,67,73,4,0.479,24.5
2009,Central,5,Hiroshima Carp,65,75,4,0.464,26.5
2009,Central,6,Yokohama Bay Stars,51,93,0,0.354,42.5
2009,Pacific,1,Hokkaido Nippon Ham Fighters,82,60,2,0.577,0
2009,Pacific,2,Tohoku Rakuten Golden Eagles,77,66,1,0.538,5.5
2009,Pacific,3,Fukuoka Softbank Hawks,74,65,5,0.532,6.5
2009,Pacific,4,Saitama Seibu Lions,70,70,4,0.5,11
2009,Pacific,5,Chiba Lotte Marines,62,77,5,0.446,18.5
2009,Pacific,6,Orix Buffaloes,56,86,2,0.394,26
2010,Central,1,Chunichi Dragons,79,62,3,0.56,0
2010,Central,2,Hanshin Tigers,78,63,3,0.553,1
2010,Central,3,Yomiuri Giants,79,64,1,0.552,1
2010,Central,4,Yakult Swallows,72,68,4,0.514,6.5
2010,Central,5,Hiroshima Carp,58,84,2,0.408,21.5
2010,Central,6,Yokohama Bay Stars,48,95,1,0.336,32
2010,Pacific,1,Fukuoka Softbank Hawks,76,63,5,0.547,0
2010,Pacific,2,Saitama Seibu Lions,78,65,1,0.545,0
2010,Pacific,3,Chiba Lotte Marines,75,67,2,0.528,2.5
2010,Pacific,4,Hokkaido Nippon Ham Fighters,74,67,3,0.525,3
2010,Pacific,5,Orix Buffaloes,69,71,4,0.493,7.5
2010,Pacific,6,Tohoku Rakuten Golden Eagles,62,79,3,0.44,15
2011,Central,1,Chunichi Dragons,75,59,10,0.56,0
2011,Central,2,Yakult Swallows,70,59,15,0.543,2.5
2011,Central,3,Yomiuri Giants,71,62,11,0.534,3.5
2011,Central,4,Hanshin Tigers,68,70,6,0.493,9
2011,Central,5,Hiroshima Carp,60,76,8,0.441,16
2011,Central,6,Yokohama Bay Stars,47,86,11,0.353,27.5
2011,Pacific,1,Fukuoka Softbank Hawks,88,46,10,0.657,0
2011,Pacific,2,Hokkaido Nippon Ham Fighters,72,65,7,0.526,17.5
2011,Pacific,3,Saitama Seibu Lions,68,67,9,0.504,20.5
2011,Pacific,4,Orix Buffaloes,69,68,7,0.504,20.5
2011,Pacific,5,Tohoku Rakuten Golden Eagles,66,71,7,0.482,23.5
2011,Pacific,6,Chiba Lotte Marines,54,79,11,0.406,33.5
2012,Central,1,Yomiuri Giants,86,43,15,0.667,0
2012,Central,2,Chunichi Dragons,75,53,16,0.586,10.5
2012,Central,3,Yakult Swallows,68,65,11,0.511,20
2012,Central,4,Hiroshima Carp,61,71,12,0.462,26.5
2012,Central,5,Hanshin Tigers,55,75,14,0.423,31.5
2012,Central,6,Yokohama Bay Stars,46,85,13,0.351,41
2012,Pacific,1,Hokkaido Nippon Ham Fighters,74,59,11,0.556,0
2012,Pacific,2,Saitama Seibu Lions,72,63,9,0.533,3
2012,Pacific,3,Fukuoka Softbank Hawks,67,65,12,0.508,6.5
2012,Pacific,4,Tohoku Rakuten Golden Eagles,67,67,10,0.5,7.5
2012,Pacific,5,Chiba Lotte Marines,62,67,15,0.481,10
2012,Pacific,6,Orix Buffaloes,57,77,10,0.425,17.5
2013,Central,1,Yomiuri Giants,84,53,7,0.613,0
2013,Central,2,Hanshin Tigers,73,67,4,0.521,12.5
2013,Central,3,Hiroshima Carp,69,72,3,0.489,17
2013,Central,4,Chunichi Dragons,64,77,3,0.454,22
2013,Central,5,Yokohama Bay Stars,64,79,1,0.448,23
2013,Central,6,Yakult Swallows,57,83,4,0.407,28.5
2013,Pacific,1,Tohoku Rakuten Golden Eagles,82,59,3,0.582,0
2013,Pacific,2,Saitama Seibu Lions,74,66,4,0.529,7.5
2013,Pacific,3,Chiba Lotte Marines,74,68,2,0.521,8.5
2013,Pacific,4,Fukuoka Softbank Hawks,73,69,2,0.514,9.5
2013,Pacific,5,Orix Buffaloes,66,73,5,0.475,15
2013,Pacific,6,Hokkaido Nippon Ham Fighters,64,78,2,0.451,18.5
2014,Central,1,Yomiuri Giants,82,61,1,0.573,0
2014,Central,2,Hanshin Tigers,75,68,1,0.524,7
2014,Central,3,Hiroshima Carp,74,68,2,0.521,7.5
2014,Central,4,Chunichi Dragons,67,73,4,0.479,13.5
2014,Central,5,Yokohama Bay Stars,67,75,2,0.472,14.5
2014,Central,6,Yakult Swallows,60,81,3,0.426,21
2014,Pacific,1,Fukuoka Softbank Hawks,78,60,6,0.565,0
2014,Pacific,2,Orix Buffaloes,80,62,2,0.563,0
2014,Pacific,3,Hokkaido Nippon Ham Fighters,73,68,3,0.518,6.5
2014,Pacific,4,Chiba Lotte Marines,66,76,2,0.465,14
2014,Pacific,5,Saitama Seibu Lions,63,77,4,0.45,16
2014,Pacific,6,Tohoku Rakuten Golden Eagles,64,80,0,0.444,17
2015,Central,1,Yakult Swallows,76,65,2,0.539,0
2015,Central,2,Yomiuri Giants,75,67,1,0.528,1.5
2015,Central,3,Hanshin Tigers,70,71,2,0.496,6
2015,Central,4,Hiroshima Carp,69,71,3,0.493,6.5
2015,Central,5,Chunichi Dragons,62,77,4,0.446,13
2015,Central,6,Yokohama Bay Stars,62,80,1,0.437,14.5
2015,Pacific,1,Fukuoka Softbank Hawks,90,49,4,0.647,0
2015,Pacific,2,Hokkaido Nippon Ham Fighters,79,62,2,0.56,12
2015,Pacific,3,Chiba Lotte Marines,73,69,1,0.514,18.5
2015,Pacific,4,Saitama Seibu Lions,69,69,5,0.5,20.5
2015,Pacific,5,Orix Buffaloes,61,80,2,0.433,30
2015,Pacific,6,Tohoku Rakuten Golden Eagles,57,83,3,0.407,33.5
2016,Central,1,Hiroshima Carp,89,52,2,0.631,0
2016,Central,2,Yomiuri Giants,71,69,3,0.507,17.5
2016,Central,3,Yokohama Bay Stars,69,71,3,0.493,19.5
2016,Central,4,Hanshin Tigers,64,76,3,0.457,24.5
2016,Central,5,Yakult Swallows,64,78,1,0.451,25.5
2016,Central,6,Chunichi Dragons,58,82,3,0.414,30.5
2016,Pacific,1,Hokkaido Nippon Ham Fighters,87,53,3,0.621,0
2016,Pacific,2,Fukuoka Softbank Hawks,83,54,6,0.606,2.5
2016,Pacific,3,Chiba Lotte Marines,72,68,3,0.514,15
2016,Pacific,4,Saitama Seibu Lions,64,76,3,0.457,23
2016,Pacific,5,Tohoku Rakuten Golden Eagles,62,78,3,0.443,25
2016,Pacific,6,Orix Buffaloes,57,83,3,0.407,30
2017,Central,1,Hiroshima Carp,88,51,4,0.633,0
2017,Central,2,Hanshin Tigers,78,61,4,0.561,10
2017,Central,3,Yokohama Bay Stars,73,65,5,0.529,14.5
2017,Central,4,Yomiuri Giants,72,68,3,0.514,16.5
2017,Central,5,Chunichi Dragons,59,79,5,0.428,28.5
2017,Central,6,Yakult Swallows,45,96,2,0.319,44
2017,Pacific,1,Fukuoka Softbank Hawks,94,49,0,0.657,0
2017,Pacific,2,Saitama Seibu Lions,79,61,3,0.564,13.5
2017,Pacific,3,Tohoku Rakuten Golden Eagles,77,63,3,0.55,15.5
2017,Pacific,4,Orix Buffaloes,63,79,1,0.444,30.5
2017,Pacific,5,Hokkaido Nippon Ham Fighters,60,83,0,0.42,34
2017,Pacific,6,Chiba Lotte Marines,54,87,2,0.383,39
2018,Central,1,Hiroshima Carp,82,59,2,0.582,0
2018,Central,2,Yakult Swallows,75,66,2,0.532,7
2018,Central,3,Yomiuri Giants,67,71,5,0.486,13.5
2018,Central,4,Yokohama Bay Stars,67,74,2,0.475,15
2018,Central,5,Chunichi Dragons,63,78,2,0.447,19
2018,Central,6,Hanshin Tigers,62,79,2,0.44,20
2018,Pacific,1,Saitama Seibu Lions,88,53,2,0.624,0
2018,Pacific,2,Fukuoka Softbank Hawks,82,60,1,0.577,6.5
2018,Pacific,3,Hokkaido Nippon Ham Fighters,74,66,3,0.529,13.5
2018,Pacific,4,Orix Buffaloes,65,73,5,0.471,21.5
2018,Pacific,5,Chiba Lotte Marines,59,81,3,0.421,28.5
2018,Pacific,6,Tohoku Rakuten Golden Eagles,58,82,3,0.414,29.5
2019,Central,1,Yomiuri Giants,77,64,2,0.546,0
2019,Central,2,Yokohama Bay Stars,71,69,3,0.507,5.5
2019,Central,3,Hanshin Tigers,69,68,6,0.504,6
2019,Central,4,Hiroshima Carp,70,70,3,0.5,6.5
2019,Central,5,Chunichi Dragons,68,73,2,0.482,9
2019,Central,6,Yakult Swallows,59,82,2,0.418,18
2019,Pacific,1,Saitama Seibu Lions,80,62,1,0.563,0
2019,Pacific,2,Fukuoka Softbank Hawks,76,62,5,0.551,2
2019,Pacific,3,Tohoku Rakuten Golden Eagles,71,68,4,0.511,7.5
2019,Pacific,4,Chiba Lotte Marines,69,70,4,0.496,9.5
2019,Pacific,5,Hokkaido Nippon Ham Fighters,65,73,5,0.471,13
2019,Pacific,6,Orix Buffaloes,61,75,7,0.449,16
2020,Central,1,Yomiuri Giants,67,45,8,0.598,0
2020,Central,2,Hanshin Tigers,60,53,7,0.531,7.5
2020,Central,3,Chunichi Dragons,60,55,5,0.522,8.5
2020,Central,4,Yokohama Bay Stars,56,58,6,0.491,12
2020,Central,5,Hiroshima Carp,52,56,12,0.481,13
2020,Central,6,Yakult Swallows,41,69,10,0.373,25
2020,Pacific,1,Fukuoka Softbank Hawks,73,42,5,0.635,0
2020,Pacific,2,Chiba Lotte Marines,60,57,3,0.513,14
2020,Pacific,3,Saitama Seibu Lions,58,58,4,0.5,15.5
2020,Pacific,4,Tohoku Rakuten Golden Eagles,55,57,8,0.491,16.5
2020,Pacific,5,Hokkaido Nippon Ham Fighters,53,62,5,0.461,20
2020,Pacific,6,Orix Buffaloes,45,68,7,0.398,27
2021,Central,1,Yakult Swallows,73,52,18,0.584,0
2021,Central,2,Hanshin Tigers,77,56,10,0.579,0
2021,Central,3,Yomiuri Giants,61,62,20,0.496,11
2021,Central,4,Hiroshima Carp,63,68,12,0.481,13
2021,Central,5,Chunichi Dragons,55,71,17,0.437,18.5
2021,Central,6,Yokohama Bay Stars,54,73,16,0.425,20
2021,Pacific,1,Orix Buffaloes,70,55,18,0.56,0
2021,Pacific,2,Chiba Lotte Marines,67,57,19,0.54,2.5
2021,Pacific,3,Tohoku Rakuten Golden Eagles,66,62,15,0.516,5.5
2021,Pacific,4,Fukuoka Softbank Hawks,60,62,21,0.492,8.5
2021,Pacific,5,Hokkaido Nippon Ham Fighters,55,68,20,0.447,14
2021,Pacific,6,Saitama Seibu Lions,55,70,18,0.44,15
2022,Central,1,Yakult Swallows,80,59,4,0.576,0
2022,Central,2,Yokohama Bay Stars,73,68,2,0.518,8
2022,Central,3,Hanshin Tigers,68,71,4,0.489,12
2022,Central,4,Yomiuri Giants,68,72,3,0.486,12.5
2022,Central,5,Hiroshima Carp,66,74,3,0.471,14.5
2022,Central,6,Chunichi Dragons,66,75,2,0.468,15
2022,Pacific,1,Fukuoka Softbank Hawks,76,65,2,0.539,0
2022,Pacific,2,Orix Buffaloes,76,65,2,0.539,0
2022,Pacific,3,Saitama Seibu Lions,72,68,3,0.514,3.5
2022,Pacific,4,Tohoku Rakuten Golden Eagles,69,71,3,0.493,6.5
2022,Pacific,5,Chiba Lotte Marines,69,73,1,0.486,7.5
2022,Pacific,6,Hokkaido Nippon Ham Fighters,59,81,3,0.421,16.5
2023,Central,1,Hanshin Tigers,85,53,5,0.616,0
2023,Central,2,Hiroshima Carp,74,65,4,0.532,11.5
2023,Central,3,Yokohama Bay Stars,74,66,3,0.529,12
2023,Central,4,Yomiuri Giants,71,70,2,0.504,15.5
2023,Central,5,Yakult Swallows,57,83,3,0.407,29
2023,Central,6,Chunichi Dragons,56,82,5,0.406,29
2023,Pacific,1,Orix Buffaloes,86,53,4,0.619,0
2023,Pacific,2,Chiba Lotte Marines,70,68,5,0.507,15.5
2023,Pacific,3,Fukuoka Softbank Hawks,71,69,3,0.507,15.5
2023,Pacific,4,Tohoku Rakuten Golden Eagles,70,71,2,0.496,17
2023,Pacific,5,Saitama Seibu Lions,65,77,1,0.458,22.5
2023,Pacific,6,Hokkaido Nippon Ham Fighters,60,82,1,0.423,27.5
